filename,width,height,class,xmin,ymin,xmax,ymax
01FKX0XKBPBGVMVWYC2QHD1WQT.jpeg,800,600,bottle,251,339,604,594
01FKX0R745QEBN7HFMX453S4ZR.jpeg,800,600,bottle,341,3,565,436
01FKX0SW83QD84ZJBCAEAWCZDC.jpeg,800,600,bottle,297,114,562,531
01FKX0ZMV9S7AFWVG74Q87JPZ5.jpeg,800,600,bottle,157,3,466,546
01FKX0RSMAHQESF8SX2238PMSS.jpeg,800,600,bottle,372,18,571,492
01FKX0VKJ11JCVEK29MXYBDD4Z.jpeg,800,600,bottle,257,1,493,593
01FKX0X61EQTN3MDWTQNH3FF29.jpeg,800,600,bottle,261,1,526,582
01FKX0WW1Y8KBS92M1F24M9B1P.jpeg,800,600,bottle,278,59,539,472
01FKX0TDNKKXH0NGPWJR5YNGXN.jpeg,800,600,bottle,296,5,542,596
01FKX0R2ZA4V0Q1S5FCY3BHQQW.jpeg,800,600,bottle,397,69,577,499
01FKX0S7CVBXH47VEFQX43920H.jpeg,800,600,bottle,270,20,538,448
01FKX0Y8G3HVH1A9S85JN2XX3S.jpeg,800,600,bottle,264,147,571,589
01FKX0VD1182WRP4XQ0AMGB315.jpeg,800,600,bottle,255,174,592,585
01FKX0VA8S303823MABP07TNWH.jpeg,800,600,bottle,274,68,502,581
01FKX0RWZ30CAEEBGJP1H7AJKY.jpeg,800,600,bottle,231,42,467,530
01FKX0TF1FMJ7XXBG58HF5H8F2.jpeg,800,600,bottle,321,7,545,595
01FKX0ZAA8D0PDNQR4A3BH4QTN.jpeg,800,600,bottle,197,2,440,598
01FKX0W6QBK403MMFXWSD3FGYB.jpeg,800,600,bottle,348,3,553,591
01FKX0S5D8ZTABH51YNX56G55C.jpeg,800,600,bottle,327,49,534,517
01FKX0WYJDMV5J4PWC4YMDS29B.jpeg,800,600,bottle,279,0,545,598
01FKX0WDYSZZWPH9NB2HGE1GK0.jpeg,800,600,bottle,264,90,498,595
01FKX0T1NMBBCAXQBTVRF40HZR.jpeg,800,600,bottle,310,87,493,565
01FKX0RQV3479WTEDFGYWPHPH9.jpeg,800,600,bottle,356,9,563,473
01FKX0XSQP6RJXEXM0THSH5D72.jpeg,800,600,bottle,241,13,542,600
01FKX0RDY1F7QSF5XQQR5WKAVS.jpeg,800,600,bottle,246,29,538,485
01FKX0VMXWDQWHP5PXNHYDYG13.jpeg,800,600,bottle,270,2,486,594
01FKX0Z219TC4F6N5XNHN4YMTW.jpeg,800,600,bottle,213,1,500,573
01FKX0V1QGR1C2AHAF5A1VPY9Q.jpeg,800,600,bottle,293,3,615,594
01FKX0QZYFF91F8Y0B3RFB0DGD.jpeg,800,600,bottle,292,92,452,599
01FKX0RP1JGK7DFTH8YHR1YAE8.jpeg,800,600,bottle,284,61,431,563
01FKX0T31Y693JTWXY794B5V7G.jpeg,800,600,bottle,247,144,582,594
01FKX0T9M0B76TFSF430WSQ9RQ.jpeg,800,600,bottle,300,46,499,524
01FKX0TCCKC0VWVMNZRP4F0YH8.jpeg,800,600,bottle,266,53,586,517
01FKX0RAX9KYBWJT96AN6TWT5T.jpeg,800,600,bottle,272,12,535,458
01FKX0WX97X9XETFPK89R0JQHW.jpeg,800,600,bottle,258,3,566,595
01FKX0XRDZHB1VCJ8N2TXEC0E6.jpeg,800,600,bottle,248,30,549,599
01FKX0X11YHK6RDKXX173KBD4D.jpeg,800,600,bottle,348,107,527,541
01FKX0YRYGXQ0CBJ9R41Q985F7.jpeg,800,600,bottle,305,16,574,538
01FKX0WK46TFD7EXRB3CD8V9KR.jpeg,800,600,bottle,289,40,563,535
01FKX0VP5BBFF7SRV2YT9JXN2R.jpeg,800,600,bottle,271,2,512,594
01FKX0SMBBXJ7WNY08YPBE3AYC.jpeg,800,600,bottle,409,11,572,463
01FKX0RGXSTB68RYP5T5JXBED2.jpeg,800,600,bottle,229,7,480,447
01FKX0Y9P1V2KSC0ZPRP80R5F6.jpeg,800,600,bottle,226,9,532,498
01FKX0TNWPZBNDCHFWVZ2AG0JY.jpeg,800,600,bottle,293,2,564,594
01FKX0Y2XER3H5QJ78NER5TWEA.jpeg,800,600,bottle,254,120,529,593
01FKX0WHSGFWR722N7N45M5KAZ.jpeg,800,600,bottle,265,68,578,538
01FKX0YMX5T497157YMZ4YZ8J0.jpeg,800,600,bottle,239,8,579,532
01FKX0V53J4CT01BHKAW4ACC8B.jpeg,800,600,bottle,241,5,576,597
01FKX0R5NP0RAM1NA6T0VWS85F.jpeg,800,600,bottle,216,2,473,452
01FKX0YQPGKYKZ5MVCWG01K1E9.jpeg,800,600,bottle,310,126,568,580
01FKX0WSNRCVJD6K6R3BMQ8S29.jpeg,800,600,bottle,368,75,546,508
01FKX0ZEG7TSBRBBP2TA598PZZ.jpeg,800,600,bottle,178,1,450,520
01FKX0ZKMX2V2R2SD56R0QWFWY.jpeg,800,600,bottle,171,0,391,566
01FKX0XHX8242VB0CXK2TRNF62.jpeg,800,600,bottle,252,160,565,592
01FKX0VT31WHHEC6G8FKBQF4JS.jpeg,800,600,bottle,272,6,527,600
01FKX0RZHC1XTS0XHSQ94M82QF.jpeg,800,600,bottle,245,42,473,531
01FKX0TAXQCZP34R4KXJ2G2MXS.jpeg,800,600,bottle,284,80,489,556
01FKX0TV3Y0XPV7NEP3VFMAT0D.jpeg,800,600,bottle,290,60,591,594
01FKX0R9J7WTW1DZVXFSA2QGWQ.jpeg,800,600,bottle,258,14,544,446
01FKX0Z3E70VGE6ZAA766TFX1C.jpeg,800,600,bottle,219,2,445,597
01FKX0ZD4DFXVZF5PT2BSZEW76.jpeg,800,600,bottle,169,4,440,593
01FKX0V6BAJ4TXP3Q9CDC2J708.jpeg,800,600,bottle,268,111,567,592
01FKX0T86YJQTJV5ZN6YK9S92D.jpeg,800,600,bottle,272,87,485,547
01FKX0XAZM2QAE5VC1MX99BN3X.jpeg,800,600,bottle,314,3,549,595
01FKX0Y47C9WJ67ED3GVSRNKBE.jpeg,800,600,bottle,242,129,543,598
01FKX0TGNFFSQ3NSQ77JAQ8H5R.jpeg,800,600,bottle,306,11,574,600
01FKX0WCQ5A18NY5KWFN908TEF.jpeg,800,600,bottle,309,2,550,575
01FKX0YJ267NPGGP2KRP5FJKW9.jpeg,800,600,bottle,266,108,499,592
01FKX0Z8XVA7RH408KX71QR7Q0.jpeg,800,600,bottle,218,2,407,576
01FKX0W248TFG6QMRCKXVZ093J.jpeg,800,600,bottle,310,86,575,594
01FKX0YP5WH59HZ1S3HQPM8MAR.jpeg,800,600,bottle,280,58,499,588
01FKX0YB0TG1JNQXEW54MJXVTF.jpeg,800,600,bottle,241,8,505,508
01FKX0TK0WF60RD2H570C1XS5H.jpeg,800,600,bottle,304,2,545,591
01FKX0S2N0YMR9SJG8K4CMCXMY.jpeg,800,600,bottle,313,23,539,435
01FKX0RFHQ9WTJ9NSJFEAPF84F.jpeg,800,600,bottle,276,43,437,542
01FKX0VWNX64AYH70R5GYTWGW6.jpeg,800,600,bottle,317,10,549,588
01FKX0XGKGSBSCHZSTX5EHAEPB.jpeg,800,600,bottle,285,88,593,597
01FKX0TXEW9VE3PRY8WYQXXT6W.jpeg,800,600,bottle,270,4,608,597
01FKX0VBKBHCYGXEGREZW7F0PD.jpeg,800,600,bottle,268,149,586,594
01FKX0X77PB2PY7TY966K4MBSV.jpeg,800,600,bottle,266,13,534,578
01FKX0Z63WZV2A19PEVXW8WMYP.jpeg,800,600,bottle,180,3,427,595
01FKX0SNW2H50QBFNPTBNT7VDJ.jpeg,800,600,bottle,272,17,526,423
01FKX0ZH4D9PG95AFYJ7V3GTD5.jpeg,800,600,bottle,304,12,501,514
01FKX0YDPQA6C2XC9R3RS15MQB.jpeg,800,600,bottle,313,39,552,541
01FKX0WF6VZTVV8KW947BFKMRN.jpeg,800,600,bottle,314,3,521,544
01FKX0XXV056927RRPRC4527EP.jpeg,800,600,bottle,275,116,516,595
01FKX0VXXZBYW7EYTW4VCYJEKN.jpeg,800,600,bottle,294,1,554,597
01FKX0X288JRPT8EFACHX4W02J.jpeg,800,600,bottle,233,1,602,600
01FKX0ZJBS06P85JAZM4DQZ73Y.jpeg,800,600,bottle,168,67,466,405
01FKX0XDQZVCE4AD929CDMQ8NA.jpeg,800,600,bottle,205,8,514,588
01FKX0VFNEFPM47ZQVDYE93XH1.jpeg,800,600,bottle,266,111,583,529
01FKX0W80SE5ZAW8HHR2HHF8RX.jpeg,800,600,bottle,317,2,530,597
01FKX0Y1JTJBABMWAD0VN1G70E.jpeg,800,600,bottle,233,88,473,571
01FKX0TZRQJ3RAEMSD5Q60H5SH.jpeg,800,600,bottle,269,2,592,591
01FKX0XCA1EXMNWBPK53JG6PY3.jpeg,800,600,bottle,214,3,508,594
01FKX0X9QWEH0GRDMY1ZRQERSW.jpeg,800,600,bottle,251,1,553,597
01FKX0R4A5NVE77Y53ESEBNY2Z.jpeg,800,600,bottle,241,48,452,537
01FKX0WTWPH0B82X5QRRYQ06FB.jpeg,800,600,bottle,297,24,557,432
01FKX0YT55KTYF10SNGC83FBZA.jpeg,800,600,bottle,202,6,428,597
01FKX0YVEPP2WQCRE3XZE4AP9X.jpeg,800,600,bottle,169,0,394,582
01FKX0T5Y9AQG7018AJS5W1QM1.jpeg,800,600,bottle,346,69,547,539
01FKX0ZBNX0RD9A36X4S31EZNT.jpeg,800,600,bottle,244,50,406,465
01FKX0Y09HTVK090Z642EM8GS0.jpeg,800,600,bottle,353,88,583,599
01FKX0W0QB1JRBBSS2RM3BKAQ9.jpeg,800,600,bottle,321,79,570,595
01FKX0WRDYHWNNZ5DB37VYHK1Y.jpeg,800,600,bottle,292,129,501,466
01FKX0SJK9MG643BEWAGXDCQ7V.jpeg,800,600,bottle,389,20,567,466
01FKX0Z0M35C7QK5TYFFSTCCT3.jpeg,800,600,bottle,272,1,490,589
01FKX0YCBJM7ESZ331XDPEDC45.jpeg,800,600,bottle,231,48,545,535
01FKX0VECZD4VZ7G4651A6JRW8.jpeg,800,600,bottle,299,86,553,526
01FKX0SRWKKGG6WFS98FYYDHEC.jpeg,800,600,bottle,311,80,525,502
01FKX0T4BCYC286VNH50NYP051.jpeg,800,600,bottle,250,134,593,575
01FKX0VH7H3P2YX7HET5GSKKRE.jpeg,800,600,bottle,299,92,573,544
01FKX0Z4V8GNK3A3PTSGHCR2Y9.jpeg,800,600,bottle,266,3,459,417
01FKX0W3WMNGRDKT5W7HYQTSJJ.jpeg,800,600,bottle,300,6,496,597
01FKX0WQ3H547JA9THZA8S9W3Q.jpeg,800,600,bottle,272,228,578,424
01FKX0T05AQMX5C8QJT1TZ2FEK.jpeg,800,600,bottle,288,115,510,579
01FKX0WMBQWSR59A8WM7YM9D8D.jpeg,800,600,bottle,281,27,431,473
01FKX0YF61ZGNFY1XGECPMPHVE.jpeg,800,600,bottle,266,214,510,588
01FKX0YZDDH1TNSH40T66BHE65.jpeg,800,600,bottle,291,3,519,560
01FKX0XP0W00XDD6QD98YYRRNF.jpeg,800,600,bottle,251,129,537,555
01FKX0V3H7CZVFKD4QAR74ESDR.jpeg,800,600,bottle,279,0,603,598
01FKX0X8F501K7N7MTHQVSY3SP.jpeg,800,600,bottle,264,79,454,445
01FKX0XWDWEZET7TC6BBQTG8VX.jpeg,800,600,bottle,261,129,528,597
01FKX0VQDAJ4CHJ2F7DE92XJER.jpeg,800,600,bottle,287,4,508,593
01FKX0YY3ZSDNTADWCZ9CWZQSG.jpeg,800,600,bottle,198,1,415,552
01FKX0X4RX30VSRX6G5TR8BQVX.jpeg,800,600,bottle,301,3,514,595
01FKX0VRT04KAQV0GM82YBVJ7Z.jpeg,800,600,bottle,268,5,507,596
01FKX0YKEY2VACB64RE2KN6RAJ.jpeg,800,600,bottle,253,58,584,585
01FKX0RYA508YDFY6SNMK0CJTZ.jpeg,800,600,bottle,230,52,476,540
01FKX0RCBH5159YPVPCT57NS56.jpeg,800,600,bottle,264,5,541,466
01FKX0XF5HZ582EDN6D9179HTT.jpeg,800,600,bottle,222,2,590,593
01FKX0WBAS1S6VTPSG81MKBTJP.jpeg,800,600,bottle,278,5,514,596
01FKX0XV195376RJ77NWPAG831.jpeg,800,600,bottle,294,72,516,596
01FKX0YGK0R79EH762D7DXRNAP.jpeg,800,600,bottle,271,47,560,555
01FKX0VZCP3X333804J1M0BNF3.jpeg,800,600,bottle,308,63,601,595
01FKX0XZ13DM3B3C896XXB630G.jpeg,800,600,bottle,314,65,496,597
01FKX0Z7DBDBZ51T2YDKQESNA4.jpeg,800,600,bottle,203,3,429,586
01FKX0WNT568GJM9GKSFGE8ZS4.jpeg,800,600,bottle,288,152,548,541
01FKX0XMTV60E6ED3W9ZSS9BX0.jpeg,800,600,bottle,257,121,582,591
01FKX0RVFDYMKRJVC2C0P0GZHX.jpeg,800,600,bottle,235,56,468,524
01FKX0WZTE3YSPDZQQZ1Q549YK.jpeg,800,600,bottle,346,114,540,543
01FKX0S0QQ4XXZ5BER4G6DKEX1.jpeg,800,600,bottle,299,26,518,428
01FKX0VVA70A8N50CJFXGJV1EP.jpeg,800,600,bottle,314,9,528,600
01FKX0Y5PQ6HPEYSHV1G4ABKA5.jpeg,800,600,bottle,244,102,475,590
01FKX0R1F77DDGMPB7ZHHZH9B6.jpeg,800,600,bottle,338,17,499,510
01FKX0TQR5WXZRYJM6T8F0CXVF.jpeg,800,600,bottle,290,2,576,544
01FKX0SQECK4JFCDHTR51RTE1V.jpeg,800,600,bottle,279,18,527,420
01FKX0SYFZTBR7HM122SYN2QPS.jpeg,800,600,bottle,319,156,552,593
01FKX0V916AKFVB62CN3CBX89K.jpeg,800,600,bottle,264,137,612,588
01FKX0X3GM0ZWJ23M956QGR3PK.jpeg,800,600,bottle,301,1,584,599
01FKX0Y71B708KQS6G5FP154AD.jpeg,800,600,bottle,251,92,461,597
01FKX0WGEKET02E10WZPYXGW72.jpeg,800,600,bottle,315,15,540,576
01FKX0YWXEDT4GJH600YC8TTFW.jpeg,800,600,bottle,149,5,377,578
01FKX0W551V43M1C9WH3H5B8VW.jpeg,800,600,bottle,327,3,550,593
01FKX0W9M4WZFF10M9BEYKZNPS.jpeg,800,600,bottle,245,2,582,588
01FKX0ZFXZFE0AR4A222MYQ4VH.jpeg,800,600,bottle,179,0,435,525
01FKX0RKTVK8ZQG78N6HJQMB1X.jpeg,800,600,bottle,278,39,452,570
01FKX0TMEKVHCTAEAPW2MX5WEG.jpeg,800,600,bottle,296,8,570,597
01FKX0R8BH1WAYN09VX4K1EAY7.jpeg,800,600,bottle,275,11,536,472
